ES918765396,"CENTRO OPTICO CAMPO REAL CTRA DE VILLAR DEL OLMO,41   Madrid 28510 Spain",40.3395888,-3.3741383
ES918813130,"PRIMERA OPTICOS VICAR MANUEL AZAÑA, 16   Madrid 28805 Spain",40.4167754,-3.7037902
ES918877610,"MECOVISION COLEGIOS, 2, LOCAL 3   Madrid 28880 Spain",40.4167754,-3.7037902
ES918907936,"C. O. VILLA DEL ESCORIAL   DOS DE MAYO, Nº2, LOCAL 1   Madrid 28280 Spain",40.4270047,-3.7040101
ES918910034,"OPTICA LOHADE GOBERNADOR, 50   Madrid 28300 Spain",40.4167754,-3.7037902
ES918940132,"OPTICA CHINCHON CALLE DEL CONVENTO, 3 A   Madrid 28370 Spain",40.1390089,-3.4227653
ES918951186,"OPTIRED GLORIETA DEL UNIVERSO, 9   Madrid 28342 Spain",40.4048051,-3.702798
ES918977039,"OPTI-VAL PLAZA CONSTITUCION, 7   Madrid 28210 Spain",40.4250988,-3.56769
ES920220153,"SANCHEZ OPTICO DUQUE DE ALBA, 1   Ávila 5001 Spain",,
ES920227678,"OPTICA MONTEJO LA ERAS, 8   Ávila 5002 Spain",,
ES921521428,"OPTICA PRISMA FRONTON, 10   Segovia 40320 Spain",40.9429032,-4.1088069
ES921560427,"FARMACIA-OPTICA SEISDEDOS PLAZA POSITO REAL, 3   Segovia 40270 Spain",41.1220993,-4.2646179
ES922179088,"OPTICA MEDANO JOSE MIGUEL GALVAN BELLO, 28   Sta. Cruz de Tenerife 38612 Spain",28.0455096,-16.5371339
ES922205455,"CENTRO OPTICO LA GRANJA PABLO PICASSO, 8   Sta. Cruz de Tenerife 38007 Spain",28.4604031,-16.2647653
ES922244024,"OPTICA PRISMA SUAREZ GUERRA, 30   Sta. Cruz de Tenerife 38002 Spain",28.468456,-16.252231
ES922244336,"OPTICA FERNANDEZ-OLIVA PASAJE SAN PEDRO 4   Sta. Cruz de Tenerife 38001 Spain",28.4735768,-16.2502058
ES922249633,"OPTICA ROBAYNA   ROBAYNA, Nº 16   Sta. Cruz de Tenerife 38004 Spain",28.4690253,-16.2556295
ES922271901,"OPTICA LA ROSA   LA ROSA, 9   Sta. Cruz de Tenerife 38000 Spain",28.4701591,-16.2501873
ES922285650,"OPTICA CHICOTE GENERAL MOLA, 15   Sta. Cruz de Tenerife 38006 Spain",28.4744973,-16.2625114
ES922287173,"INTEROPTICA BETHANCOURT ALFONSO, 34   Sta. Cruz de Tenerife 38002 Spain",28.4636296,-16.2518467
ES922301819,"OPTICA SANTA URSULA CRTA. DE ESPAÑA, 24   Sta. Cruz de Tenerife 38390 Spain",28.4251285,-16.4906526
ES922321821,"OPTICA LA CASITA COLOGAN, 7   Sta. Cruz de Tenerife 38300 Spain",28.4157087,-16.5485036
ES922334079,"OPTICA LLANOS II SAN JUAN BOSCO, 3   Sta. Cruz de Tenerife 38300 Spain",28.261901,-16.5937658
ES922362343,"OPTICAS VISION NORTE CTRA. TOSCAL-LONGUERA, 3   Sta. Cruz de Tenerife 38410 Spain",28.3992674,-16.5753742
ES922376026,"OPTICA NUEVAVISION AVD FAMILIA BETACOURT Y MOLINA   Sta. Cruz de Tenerife 38400 Spain",28.4177156,-16.5426057
